nSpecies,biomassStability
1,7.47
1,6.74
1,6.61
1,6.4
1,5.67
1,5.26
1,4.8
1,4.4
1,4.4
1,4.26
1,4.2
1,4
1,3.73
1,3.4
1,3.27
1,3
1,3.01
1,3.07
1,2.87
1,2.8
1,2.53
1,2.54
1,2.54
1,2.53
1,2.33
1,2.26
1,2.33
1,2.33
1,2.41
1,2.13
1,2.07
1,2.21
1,2.07
2,7.41
2,7.01
2,6.08
2,5.61
2,5.07
2,4.8
2,4.94
2,5.01
2,4.46
2,4.53
2,4.33
2,3.73
2,3.81
2,3.73
2,3.86
2,3.86
2,3.82
2,3.66
2,3.47
2,3.32
2,3.27
2,3.2
2,3.19
2,3.07
2,2.93
2,2.73
2,2.59
2,2.54
2,2.4
2,2.54
2,2.4
2,1.87
2,1.34
2,3.74
4,7.41
4,5.67
4,5.6
4,5.4
4,5.2
4,4.8
4,4.74
4,4.54
4,4.4
4,4.33
4,4.13
4,4
4,4
4,3.86
4,3.66
4,3.27
4,3.06
4,3.12
4,3.26
4,3.26
4,3
4,2.95
4,2.8
4,2.67
4,2.53
4,2.2
4,2.13
4,2.19
4,4.34
8,7.74
8,6.66
8,6.54
8,6.27
8,6
8,6
8,5.73
8,5.06
8,4.93
8,4.93
8,4.73
8,4.66
8,4.47
8,4.47
8,4.54
8,4.33
8,4.34
8,4.26
8,3.99
8,4
8,3.86
8,3.73
8,3.81
8,3.67
8,3.47
8,3.53
8,3.61
8,3.53
8,3.06
8,2.53
16,11.74
16,10
16,9.19
16,8.93
16,8.61
16,7.67
16,7.67
16,7.34
16,6.8
16,6.8
16,6.73
16,6.34
16,6.14
16,6
16,5.74
16,5.6
16,5.27
16,5.2
16,5.14
16,5
16,4.74
16,4.06
16,4.13
16,4
16,4.06
16,4
16,3.8
16,3.73
16,3.54
16,3.39
16,2.99
16,3.2
16,2.93
16,4.74
16,15.76
