"","site","transect","quadrat","chiton_mean","space","richness","simpsondiv","urchin_mean"
"1","ON","ON0","ON0_45",0,0.142137212,10,0.700430250099063,0.666666666666667
"2","ON","ON0","ON0_46",1,0.228785901,12,0.749780256115124,0.666666666666667
"3","ON","ON0","ON0_48",0,0.125082219,8,0.616090365094909,0.666666666666667
"4","ON","ON0","ON0_49",0,0.242888153,10,0.758046765047556,0.666666666666667
"5","ON","ON1","ON1_17",1,0.730345572,10,0.717226747374002,1
"6","ON","ON1","ON1_84",0,0.056915196,9,0.709310213316835,1
"7","ON","ON1","ON1_85",0.666666666666667,0.096263112,9,0.652200446363376,1
"8","ON","ON1","ON1_86",0.333333333333333,0.497411659,7,0.283634729938758,1
"9","ON","ON2","ON2_43",0,0.449754501,8,0.663414904380983,5.33333333333333
"10","ON","ON2","ON2_44",2,0.605113952,8,0.564495919244061,5.33333333333333
"11","ON","ON2","ON2_82",0,0.281934825,9,0.525659216619154,5.33333333333333
"12","ON","ON2","ON2_83",0.666666666666667,0.754498567,8,0.722122536351001,5.33333333333333
"13","ON","ON3","ON3_16",0.333333333333333,0.405572074,10,0.807274637245288,7
"14","ON","ON3","ON3_77",1,0.464566046,13,0.810940107556265,7
"15","ON","ON3","ON3_78",1.66666666666667,0.499942216,10,0.797025095928506,7
"16","ON","ON3","ON3_79",1.33333333333333,0.252224147,15,0.851400517132238,7
"17","ON","ON4","ON4_71",0,0.124281862,13,0.806365820155341,0.666666666666667
"18","ON","ON4","ON4_72",0,0.202243447,10,0.825916319891959,0.666666666666667
"19","ON","ON4","ON4_73",0,0.160834601,13,0.792079949457856,0.666666666666667
"20","ON","ON4","ON4_74",0,0.111979717,12,0.725148855900006,0.666666666666667
"21","ON","ON5","ON5_25",0,0.012627592,9,0.525155408912683,1.33333333333333
"22","ON","ON5","ON5_88",0,0.160433605,12,0.731090034031665,1.33333333333333
"23","ON","ON5","ON5_89",0,0.043346337,11,0.528401800243678,1.33333333333333
"24","ON","ON5","ON5_91",0,0.120634921,13,0.731968367834693,1.33333333333333
"25","PG","PG1","PG1_7",0.333333333333333,0.083646113,11,0.736888999542684,0
"26","PG","PG1","PG1_8",0.666666666666667,0.403940886,9,0.717865107910996,0
"27","PG","PG1","PG1_96",0.666666666666667,0.248322148,12,0.781142402255059,0
"28","PG","PG1","PG1_97",0,0.060312331,10,0.540458866171813,0
"29","PG","PG2","PG2_10",0,0.048917657,10,0.70101985905075,0.666666666666667
"30","PG","PG2","PG2_27",1,0.066467595,9,0.698739886202971,0.666666666666667
"31","PG","PG2","PG2_98",2,0.190540238,8,0.635452104047738,0.666666666666667
"32","PG","PG2","PG2_99",1,0.111817585,8,0.76967462464997,0.666666666666667
"33","PG","PG3","PG3_0",1.33333333333333,0.262837621,8,0.55246655961964,0
"34","PG","PG3","PG3_11",4,0.503143267,15,0.68672810434806,0
"35","PG","PG3","PG3_15",0,0.054432856,9,0.56931913477116,0
"36","PG","PG3","PG3_95",0.333333333333333,0.073047589,13,0.785354976636252,0
"37","PG","PG4","PG4_28",2.66666666666667,0.380147836,9,0.664414758086574,1.33333333333333
"38","PG","PG4","PG4_5",3.66666666666667,0.85104539,4,0.251881693342013,1.33333333333333
"39","PG","PG4","PG4_65",0.666666666666667,0.153142488,13,0.55822108654765,1.33333333333333
"40","PG","PG4","PG4_94",3.33333333333333,0.351814622,7,0.760947237417739,1.33333333333333
"41","PG","PG5","PG5_2",0.666666666666667,0.198439242,13,0.731843807963293,6
"42","PG","PG5","PG5_3",0.666666666666667,0.287123678,13,0.604365988284369,6
"43","PG","PG5","PG5_92",4.66666666666667,0.923855727,5,0.71234857708869,6
"44","PG","PG5","PG5_93",1.66666666666667,0.162653662,9,0.627885658821725,6
"45","PG","PG6","PG6_B",2,0.394229723,9,0.727708924082136,2
"46","PG","PG6","PG6_D",2.33333333333333,0.25724956,11,0.735221294538619,2
"47","PG","PG6","PG6_E",5.33333333333333,0.562660394,16,0.455483855170227,2
"48","PG","PG6","PG6_F",2.66666666666667,0.231986131,9,0.553189159518302,2
"49","SC","SC1","SC1_54",0.333333333333333,0.103504043,13,0.735171367689862,1.33333333333333
"50","SC","SC1","SC1_62",0.666666666666667,0.164199766,17,0.705227643589627,1.33333333333333
"51","SC","SC1","SC1_63",1.66666666666667,0.114285714,11,0.787545735541263,1.33333333333333
"52","SC","SC1","SC1_64",0,0.074630113,8,0.763477191425465,1.33333333333333
"53","SC","SC4","SC4_36",0,0.015469614,17,0.874280068034227,0
"54","SC","SC4","SC4_45",0,0.092417635,16,0.778600866368013,0
"55","SC","SC4","SC4_51",0,0.135323123,14,0.837230754264929,0
"56","SC","SC4","SC4_52",0,0.016623377,12,0.816052891746911,0
"57","SC","SC5","SC5_34",0,0.070938999,17,0.816059183846723,0
"58","SC","SC5","SC5_47",0,0.105714285,16,0.870347030495911,0
"59","SC","SC5","SC5_49",0,0.050179993,15,0.887054395070796,0
"60","SC","SC5","SC5_50",0.666666666666667,0.02962379,18,0.861687799526499,0
"61","SC","SC6","SC6_14",0.666666666666667,0.488879101,9,0.456150335388497,1.66666666666667
"62","SC","SC6","SC6_18",0,0.121321051,9,0.698064746314392,1.66666666666667
"63","SC","SC6","SC6_21",0.333333333333333,0.443869855,13,0.631557677455387,1.66666666666667
"64","SC","SC6","SC6_33",0,0.087713386,12,0.579713035689287,1.66666666666667
"65","SC","SC7","SC7_2",0,0.092074976,13,0.667841747156758,0
"66","SC","SC7","SC7_3",0,0.287070524,12,0.830666590964062,0
"67","SC","SC7","SC7_4",0.666666666666667,0.242190937,16,0.709160752731786,0
"68","SC","SC7","SC7_5",0,0.102798528,13,0.567457437419398,0
"69","SC","SC8","SC8_37",0,0.020286931,8,0.493585331939543,0
"70","SC","SC8","SC8_38",0,0.191998237,19,0.774746856552074,0
"71","SC","SC8","SC8_39",0,0.029339853,8,0.641145419652298,0
"72","SC","SC8","SC8_40",0,0.059800664,18,0.763399407387859,0
